dataset_id,dataset_title,method_key,method,stage_dir,n,value
wear,WEAR,logistic,"Logistic Probe
(baseline)",artifacts/datasets/wear/logistic_ce_backbone_C_1,13,0.960609606791769
wear,WEAR,logistic,"Logistic Probe
(baseline)",artifacts/datasets/wear/logistic_ce_backbone_C_1,14,0.9615223327737756
wear,WEAR,logistic,"Logistic Probe
(baseline)",artifacts/datasets/wear/logistic_ce_backbone_C_1,15,0.9621280123473436
wear,WEAR,logistic,"Logistic Probe
(baseline)",artifacts/datasets/wear/logistic_ce_backbone_C_1,16,0.9627503882619474
harth,HARTH,fixed,"Prior Proto
(ours)",artifacts/datasets/harth/prior_euclidean,0,0.7026614617356095
harth,HARTH,fixed,"Prior Proto
(ours)",artifacts/datasets/harth/prior_euclidean,1,0.7026614617356095
harth,HARTH,fixed,"Prior Proto
(ours)",artifacts/datasets/harth/prior_euclidean,2,0.7026614617356095
harth,HARTH,fixed,"Prior Proto
(ours)",artifacts/datasets/harth/prior_euclidean,3,0.7026614617356095
harth,HARTH,fixed,"Prior Proto
(ours)",artifacts/datasets/harth/prior_euclidean,4,0.7026614617356095
harth,HARTH,fixed,"Prior Proto
(ours)",artifacts/datasets/harth/prior_euclidean,5,0.7026614617356095
harth,HARTH,fixed,"Prior Proto
(ours)",artifacts/datasets/harth/prior_euclidean,6,0.7026614617356095
harth,HARTH,fixed,"Prior Proto
(ours)",artifacts/datasets/harth/prior_euclidean,7,0.7026614617356095
harth,HARTH,fixed,"Prior Proto
(ours)",artifacts/datasets/harth/prior_euclidean,8,0.7026614617356095
harth,HARTH,fixed,"Prior Proto
(ours)",artifacts/datasets/harth/prior_euclidean,9,0.7026614617356095
harth,HARTH,fixed,"Prior Proto
(ours)",artifacts/datasets/harth/prior_euclidean,10,0.7026614617356095
harth,HARTH,fixed,"Prior Proto
(ours)",artifacts/datasets/harth/prior_euclidean,12,0.7026614617356095
harth,HARTH,fixed,"Prior Proto
(ours)",artifacts/datasets/harth/prior_euclidean,14,0.7026614617356095
harth,HARTH,fixed,"Prior Proto
(ours)",artifacts/datasets/harth/prior_euclidean,16,0.7026614617356095
harth,HARTH,bayesian,"MAP Proto
(ours)",artifacts/datasets/harth/map_euclidean,0,0.7026614617356095
harth,HARTH,bayesian,"MAP Proto
(ours)",artifacts/datasets/harth/map_euclidean,1,0.8924206994366707
harth,HARTH,bayesian,"MAP Proto
(ours)",artifacts/datasets/harth/map_euclidean,2,0.8947820148828165
harth,HARTH,bayesian,"MAP Proto
(ours)",artifacts/datasets/harth/map_euclidean,3,0.898094403691697
harth,HARTH,bayesian,"MAP Proto
(ours)",artifacts/datasets/harth/map_euclidean,4,0.8999962619972667
harth,HARTH,bayesian,"MAP Proto
(ours)",artifacts/datasets/harth/map_euclidean,5,0.9005079878481209
harth,HARTH,bayesian,"MAP Proto
(ours)",artifacts/datasets/harth/map_euclidean,6,0.9006768117238853
harth,HARTH,bayesian,"MAP Proto
(ours)",artifacts/datasets/harth/map_euclidean,7,0.8994518345194668
harth,HARTH,bayesian,"MAP Proto
(ours)",artifacts/datasets/harth/map_euclidean,8,0.8995667556631347
harth,HARTH,bayesian,"MAP Proto
(ours)",artifacts/datasets/harth/map_euclidean,9,0.8976645648487668
harth,HARTH,bayesian,"MAP Proto
(ours)",artifacts/datasets/harth/map_euclidean,10,0.8968458552776283
harth,HARTH,bayesian,"MAP Proto
(ours)",artifacts/datasets/harth/map_euclidean,11,0.8951310489547999
harth,HARTH,bayesian,"MAP Proto
(ours)",artifacts/datasets/harth/map_euclidean,12,0.8927972153000533
harth,HARTH,bayesian,"MAP Proto
(ours)",artifacts/datasets/harth/map_euclidean,13,0.8904224723522387
harth,HARTH,bayesian,"MAP Proto
(ours)",artifacts/datasets/harth/map_euclidean,14,0.8866323385418309
harth,HARTH,bayesian,"MAP Proto
(ours)",artifacts/datasets/harth/map_euclidean,15,0.8828498491152392
harth,HARTH,bayesian,"MAP Proto
(ours)",artifacts/datasets/harth/map_euclidean,16,0.8755681408317882
harth,HARTH,support,"ProtoNet
(baseline)",artifacts/datasets/harth/protonet_euclidean,0,0.7026614617356095
harth,HARTH,support,"ProtoNet
(baseline)",artifacts/datasets/harth/protonet_euclidean,1,0.8604201644926864
harth,HARTH,support,"ProtoNet
(baseline)",artifacts/datasets/harth/protonet_euclidean,2,0.888609187105866
harth,HARTH,support,"ProtoNet
(baseline)",artifacts/datasets/harth/protonet_euclidean,3,0.8957803299722737
harth,HARTH,support,"ProtoNet
(baseline)",artifacts/datasets/harth/protonet_euclidean,4,0.8999657166384296
harth,HARTH,support,"ProtoNet
(baseline)",artifacts/datasets/harth/protonet_euclidean,5,0.9005398081223025
harth,HARTH,support,"ProtoNet
(baseline)",artifacts/datasets/harth/protonet_euclidean,6,0.9011666016993968
harth,HARTH,support,"ProtoNet
(baseline)",artifacts/datasets/harth/protonet_euclidean,7,0.9000324536714978
harth,HARTH,support,"ProtoNet
(baseline)",artifacts/datasets/harth/protonet_euclidean,8,0.9002440450728598
harth,HARTH,support,"ProtoNet
(baseline)",artifacts/datasets/harth/protonet_euclidean,9,0.8983598151721619
harth,HARTH,support,"ProtoNet
(baseline)",artifacts/datasets/harth/protonet_euclidean,10,0.8974652990611444
harth,HARTH,support,"ProtoNet
(baseline)",artifacts/datasets/harth/protonet_euclidean,11,0.895572307254307
harth,HARTH,support,"ProtoNet
(baseline)",artifacts/datasets/harth/protonet_euclidean,12,0.8935024364842774
harth,HARTH,support,"ProtoNet
(baseline)",artifacts/datasets/harth/protonet_euclidean,13,0.8912222936746425
harth,HARTH,support,"ProtoNet
(baseline)",artifacts/datasets/harth/protonet_euclidean,14,0.8869844058880616
harth,HARTH,support,"ProtoNet
(baseline)",artifacts/datasets/harth/protonet_euclidean,15,0.8836205327226666
harth,HARTH,support,"ProtoNet
(baseline)",artifacts/datasets/harth/protonet_euclidean,16,0.8768502077432704
harth,HARTH,logistic,"Logistic Probe
(baseline)",artifacts/datasets/harth/logistic_ce_backbone_C_1,0,0.7026614617356095
harth,HARTH,logistic,"Logistic Probe
(baseline)",artifacts/datasets/harth/logistic_ce_backbone_C_1,1,0.862782716975222
harth,HARTH,logistic,"Logistic Probe
(baseline)",artifacts/datasets/harth/logistic_ce_backbone_C_1,2,0.8917166838649234
harth,HARTH,logistic,"Logistic Probe
(baseline)",artifacts/datasets/harth/logistic_ce_backbone_C_1,3,0.8992286364914389
harth,HARTH,logistic,"Logistic Probe
(baseline)",artifacts/datasets/harth/logistic_ce_backbone_C_1,4,0.9042320836111176
harth,HARTH,logistic,"Logistic Probe
(baseline)",artifacts/datasets/harth/logistic_ce_backbone_C_1,5,0.9059890016858516
harth,HARTH,logistic,"Logistic Probe
(baseline)",artifacts/datasets/harth/logistic_ce_backbone_C_1,6,0.9067926664426308
harth,HARTH,logistic,"Logistic Probe
(baseline)",artifacts/datasets/harth/logistic_ce_backbone_C_1,7,0.90668482129604
harth,HARTH,logistic,"Logistic Probe
(baseline)",artifacts/datasets/harth/logistic_ce_backbone_C_1,8,0.9071149070200594
harth,HARTH,logistic,"Logistic Probe
(baseline)",artifacts/datasets/harth/logistic_ce_backbone_C_1,9,0.905919034954871
harth,HARTH,logistic,"Logistic Probe
(baseline)",artifacts/datasets/harth/logistic_ce_backbone_C_1,10,0.9060410436275912
harth,HARTH,logistic,"Logistic Probe
(baseline)",artifacts/datasets/harth/logistic_ce_backbone_C_1,11,0.9044855261177706
harth,HARTH,logistic,"Logistic Probe
(baseline)",artifacts/datasets/harth/logistic_ce_backbone_C_1,12,0.9025308065394348
harth,HARTH,logistic,"Logistic Probe
(baseline)",artifacts/datasets/harth/logistic_ce_backbone_C_1,13,0.9004455091182041
harth,HARTH,logistic,"Logistic Probe
(baseline)",artifacts/datasets/harth/logistic_ce_backbone_C_1,14,0.8975133142619732
harth,HARTH,logistic,"Logistic Probe
(baseline)",artifacts/datasets/harth/logistic_ce_backbone_C_1,15,0.8938293591131672
harth,HARTH,logistic,"Logistic Probe
(baseline)",artifacts/datasets/harth/logistic_ce_backbone_C_1,16,0.8871650418147626
hapt,HAPT,fixed,"Prior Proto
(ours)",artifacts/datasets/hapt/prior_euclidean,0,0.7414091865172201
hapt,HAPT,fixed,"Prior Proto
(ours)",artifacts/datasets/hapt/prior_euclidean,1,0.7414091865172201
hapt,HAPT,fixed,"Prior Proto
(ours)",artifacts/datasets/hapt/prior_euclidean,2,0.7414091865172201
hapt,HAPT,fixed,"Prior Proto
(ours)",artifacts/datasets/hapt/prior_euclidean,3,0.7414091865172201
hapt,HAPT,fixed,"Prior Proto
(ours)",artifacts/datasets/hapt/prior_euclidean,4,0.7414091865172201
hapt,HAPT,fixed,"Prior Proto
(ours)",artifacts/datasets/hapt/prior_euclidean,5,0.7414091865172201
hapt,HAPT,fixed,"Prior Proto
(ours)",artifacts/datasets/hapt/prior_euclidean,6,0.7414091865172201
hapt,HAPT,fixed,"Prior Proto
(ours)",artifacts/datasets/hapt/prior_euclidean,7,0.7414091865172201
hapt,HAPT,fixed,"Prior Proto
(ours)",artifacts/datasets/hapt/prior_euclidean,8,0.7414091865172201
hapt,HAPT,fixed,"Prior Proto
(ours)",artifacts/datasets/hapt/prior_euclidean,9,0.7414091865172201
hapt,HAPT,fixed,"Prior Proto
(ours)",artifacts/datasets/hapt/prior_euclidean,10,0.7414091865172201
hapt,HAPT,fixed,"Prior Proto
(ours)",artifacts/datasets/hapt/prior_euclidean,12,0.7414091865172201
hapt,HAPT,fixed,"Prior Proto
(ours)",artifacts/datasets/hapt/prior_euclidean,14,0.7414091865172201
hapt,HAPT,fixed,"Prior Proto
(ours)",artifacts/datasets/hapt/prior_euclidean,16,0.7414091865172201
hapt,HAPT,bayesian,"MAP Proto
(ours)",artifacts/datasets/hapt/map_euclidean,0,0.7414091865172201
hapt,HAPT,bayesian,"MAP Proto
(ours)",artifacts/datasets/hapt/map_euclidean,1,0.944029569228641
hapt,HAPT,bayesian,"MAP Proto
(ours)",artifacts/datasets/hapt/map_euclidean,2,0.9495245427265484
hapt,HAPT,bayesian,"MAP Proto
(ours)",artifacts/datasets/hapt/map_euclidean,3,0.9528486981938016
hapt,HAPT,bayesian,"MAP Proto
(ours)",artifacts/datasets/hapt/map_euclidean,4,0.9540497187578664
hapt,HAPT,bayesian,"MAP Proto
(ours)",artifacts/datasets/hapt/map_euclidean,5,0.9557329490477866
hapt,HAPT,bayesian,"MAP Proto
(ours)",artifacts/datasets/hapt/map_euclidean,6,0.9555414037005506
hapt,HAPT,bayesian,"MAP Proto
(ours)",artifacts/datasets/hapt/map_euclidean,7,0.9570290991409424
hapt,HAPT,bayesian,"MAP Proto
(ours)",artifacts/datasets/hapt/map_euclidean,8,0.9582429449006248
hapt,HAPT,bayesian,"MAP Proto
(ours)",artifacts/datasets/hapt/map_euclidean,9,0.9592157247149588
hapt,HAPT,bayesian,"MAP Proto
(ours)",artifacts/datasets/hapt/map_euclidean,10,0.960151746590357
hapt,HAPT,bayesian,"MAP Proto
(ours)",artifacts/datasets/hapt/map_euclidean,11,0.9603159769352716
hapt,HAPT,bayesian,"MAP Proto
(ours)",artifacts/datasets/hapt/map_euclidean,12,0.9604963818565236
hapt,HAPT,bayesian,"MAP Proto
(ours)",artifacts/datasets/hapt/map_euclidean,13,0.9612159253564152
hapt,HAPT,bayesian,"MAP Proto
(ours)",artifacts/datasets/hapt/map_euclidean,14,0.9613345056395828
hapt,HAPT,bayesian,"MAP Proto
(ours)",artifacts/datasets/hapt/map_euclidean,15,0.9616574141247786
hapt,HAPT,bayesian,"MAP Proto
(ours)",artifacts/datasets/hapt/map_euclidean,16,0.960986663693149
hapt,HAPT,support,"ProtoNet
(baseline)",artifacts/datasets/hapt/protonet_euclidean,0,0.7414091865172201
hapt,HAPT,support,"ProtoNet
(baseline)",artifacts/datasets/hapt/protonet_euclidean,1,0.938174593751222
hapt,HAPT,support,"ProtoNet
(baseline)",artifacts/datasets/hapt/protonet_euclidean,2,0.9516819581577228
hapt,HAPT,support,"ProtoNet
(baseline)",artifacts/datasets/hapt/protonet_euclidean,3,0.9552410593749464
hapt,HAPT,support,"ProtoNet
(baseline)",artifacts/datasets/hapt/protonet_euclidean,4,0.9565698623015432
hapt,HAPT,support,"ProtoNet
(baseline)",artifacts/datasets/hapt/protonet_euclidean,5,0.9595063397848592
hapt,HAPT,support,"ProtoNet
(baseline)",artifacts/datasets/hapt/protonet_euclidean,6,0.958844025783413
hapt,HAPT,support,"ProtoNet
(baseline)",artifacts/datasets/hapt/protonet_euclidean,7,0.96011596295982
hapt,HAPT,support,"ProtoNet
(baseline)",artifacts/datasets/hapt/protonet_euclidean,8,0.9610687323413784
hapt,HAPT,support,"ProtoNet
(baseline)",artifacts/datasets/hapt/protonet_euclidean,9,0.9615849404977992
hapt,HAPT,support,"ProtoNet
(baseline)",artifacts/datasets/hapt/protonet_euclidean,10,0.9634582362353148
